"country","Q1","Q3","Q4","Q6","Q12A","Q12B","Q12C","Q12D","Q13A","Q13B","Q13E","Q13F","Q13G","Q17","Q18","Q19B","Q25A","Q25D","Q26A","Q26B","Q26C","Q26D","Q26E","Q26F","Q26G","Q32","Q33","Q39","Q40","Q41","Q42","Q43","Q44","Q70","Q71","Q152","Q164","ISOcountry"
"Argentina",1.68312757201646,2.62962962962963,2.85185185185185,1.74485596707819,2.67901234567901,2.37860082304527,3.11522633744856,2.7201646090535,1.45267489711934,1.76543209876543,1.91769547325103,2.01234567901235,1.5761316872428,1.95884773662551,1.8477366255144,1.60082304526749,2.75308641975309,3.02880658436214,1.66666666666667,1.7201646090535,1.76954732510288,1.77366255144033,1.79012345679012,1.83127572016461,1.84362139917695,1.47736625514403,1.79835390946502,1.87242798353909,1.16460905349794,1.26748971193416,1.46502057613169,2.20164609053498,1.45267489711934,1.21399176954733,1.12757201646091,2.09876543209877,2.42798353909465,"ARG"
"Australia",1.70897832817337,2.41486068111455,3.20433436532508,2.3312693498452,2.18575851393189,2.39318885448916,3.09907120743034,3.04953560371517,1.87306501547988,1.44272445820433,1.98452012383901,1.91950464396285,1.87925696594427,1.77708978328173,1.85448916408669,1.3312693498452,1.94117647058824,3.39318885448916,1.34365325077399,1.41176470588235,1.31269349845201,1.30340557275542,1.23839009287926,1.25386996904025,1.36842105263158,1.81114551083591,1.81733746130031,1.6625386996904,1.19814241486068,1.8297213622291,2.5046439628483,2.17647058823529,1.4953560371517,1.04334365325077,1.04334365325077,2.79876160990712,2.85448916408669,"AUS"
"Brazil",1.59464627151052,3.19502868068834,2.19502868068834,1.68451242829828,2.05162523900574,2.36711281070746,3.17973231357553,2.87571701720841,1.35564053537285,1.86424474187381,1.80305927342256,1.76673040152964,1.54684512428298,1.62523900573614,1.434034416826,1.33843212237094,2.26577437858509,3.03059273422562,1.40152963671128,1.53346080305927,1.54493307839388,1.54493307839388,1.59847036328872,1.58508604206501,1.65200764818356,1.1453154875717,1.90057361376673,1.62332695984704,1.08604206500956,1.10133843212237,1.31166347992352,1.45697896749522,1.5678776290631,1.36902485659656,1.10325047801147,1.45124282982792,2.51051625239006,"BRA"
"Burkina Faso",1.71748878923767,2.65022421524664,1.68609865470852,1.56053811659193,1.55156950672646,1.54260089686099,2.76233183856502,2.51569506726457,1.26457399103139,1.68161434977578,2.00448430493274,2.14798206278027,1.66367713004484,1.5067264573991,2,1.18385650224215,1.74439461883408,2.69058295964126,1.31838565022422,1.29596412556054,1.44843049327354,1.45739910313901,1.54260089686099,1.54260089686099,1.47085201793722,1.29596412556054,1.88340807174888,1.62331838565022,1.14798206278027,1.24215246636771,1.2914798206278,1.54708520179372,1.51121076233184,1.78026905829596,1.15695067264574,1.0762331838565,2.54260089686099,"BFA"
"Canada",1.60883280757098,2.37539432176656,2.85488958990536,2.33123028391167,2.1608832807571,2.65299684542587,3.2397476340694,3.08832807570978,1.81072555205047,1.47003154574132,1.72239747634069,1.78548895899054,1.86119873817035,1.85488958990536,1.66876971608833,1.37223974763407,1.97791798107256,3.32492113564669,1.38801261829653,1.45425867507886,1.42902208201893,1.41955835962145,1.37539432176656,1.39116719242902,1.47003154574132,1.74132492113565,1.82334384858044,1.61514195583596,1.12933753943218,1.71293375394322,2.27444794952681,2.30283911671924,1.44479495268139,1.0410094637224,1.12302839116719,2.49526813880126,2.92744479495268,"CAN"
"Chile",1.82156133828996,2.51301115241636,2.68401486988848,1.46096654275093,2.11152416356877,1.98884758364312,3.05204460966543,2.64312267657993,1.37546468401487,1.87360594795539,1.86988847583643,1.99256505576208,1.62825278810409,1.78810408921933,1.94052044609665,1.26022304832714,2.21933085501859,2.81412639405204,1.37918215613383,1.45353159851301,1.56877323420074,1.51301115241636,1.41263940520446,1.47955390334573,1.48698884758364,1.20446096654275,1.85873605947955,1.76951672862454,1.0817843866171,1.37174721189591,1.46096654275093,2.14498141263941,1.49442379182156,1.14498141263941,1.03717472118959,2.40148698884758,2.22304832713755,"CHL"
"China",1.83783783783784,1.83710737764792,1.83199415631848,1.10810810810811,2.30898466033601,1.38203067932798,2.77867056245435,2.21986851716581,1.95982468955442,2.4645726807889,2.51716581446311,2.29437545653762,2.12125639152666,1.79401022644266,1.94375456537619,1.42731921110299,2.25346968590212,2.11395178962747,1.43097151205259,1.39225712198685,1.58144631117604,1.62235208181154,1.71219868517166,1.58071585098612,1.62527392257122,1.94375456537619,1.68224981738495,1.73557341124909,1.22059897735573,1.64937910883857,1.98758217677137,2.56537618699781,1.39225712198685,1.25712198685172,1.01095690284879,3.30168005843682,1.45507669831994,"CHN"
"Ethiopia",1.38866396761134,1.77732793522267,1.61943319838057,1.30364372469636,1.48582995951417,1.50202429149798,2.41295546558704,2.02834008097166,1.38461538461538,1.63157894736842,1.87044534412955,1.78542510121457,1.38461538461538,1.50607287449393,1.87044534412955,1.06477732793522,1.64777327935223,2.27935222672065,1.1336032388664,1.1417004048583,1.29554655870445,1.26720647773279,1.30364372469636,1.26720647773279,1.30364372469636,1.74089068825911,1.79757085020243,1.37246963562753,1.07287449392713,1.83400809716599,1.40080971659919,1.89068825910931,1.61538461538462,1.78542510121457,1.32388663967611,1.04453441295547,2.36032388663968,"ETH"
"France",1.76958002270148,3.1328036322361,3.35073779795687,2.71623155505108,2.24971623155505,2.57207718501703,3.23950056753689,2.95800227014756,1.73325766174801,1.42792281498297,1.87287173666288,1.83768444948922,1.67423382519864,1.72531214528944,1.87741203178207,1.45970488081725,2.01135073779796,3.38479001135074,1.42565266742338,1.59591373439274,1.37911464245176,1.38251986379115,1.37343927355278,1.41543700340522,1.53121452894438,1.53916004540295,1.83541430192963,1.59364358683314,1.12031782065834,1.58569807037457,1.93189557321226,2.4472190692395,1.45970488081725,1.21793416572077,1.09875141884222,2.88989784335982,3.06810442678774,"FRA"
"Germany",1.82819383259912,1.98017621145374,2.91409691629956,2.19383259911894,2.51762114537445,2.75991189427313,3.06607929515418,2.98458149779736,1.86123348017621,1.37665198237885,2.02422907488987,1.8942731277533,2.16740088105727,2.38325991189427,1.74669603524229,1.53083700440529,2.06167400881057,3.20484581497797,1.51321585903084,1.57488986784141,1.38105726872247,1.33700440528634,1.40308370044053,1.38105726872247,1.55066079295154,1.58810572687225,1.80837004405286,1.79295154185022,1.11453744493392,1.48678414096916,2.35903083700441,2.29295154185022,1.40748898678414,1.0704845814978,1.02863436123348,2.56828193832599,2.48017621145374,"DEU"
"Ghana",1.71067415730337,3.18539325842697,2.42415730337079,1.90730337078652,1.33707865168539,1.62640449438202,2.31460674157303,2.03370786516854,1.29494382022472,1.6376404494382,1.80337078651685,1.64044943820225,1.36516853932584,1.47752808988764,1.83426966292135,1.16011235955056,1.55337078651685,2.12359550561798,1.17977528089888,1.20505617977528,1.26685393258427,1.30898876404494,1.33988764044944,1.3623595505618,1.36797752808989,1.43820224719101,1.79213483146067,1.34269662921348,1.13202247191011,1.54775280898876,1.26123595505618,2.3314606741573,1.33426966292135,1.6938202247191,1.19101123595506,1.0814606741573,2.97752808988764,"GHA"
"India",1.82142857142857,1.84006211180124,1.75776397515528,1.30434782608696,1.56832298136646,2.36024844720497,2.35093167701863,1.94254658385093,1.21739130434783,1.57142857142857,1.73291925465839,1.4472049689441,1.49534161490683,1.32608695652174,1.75776397515528,1.28105590062112,1.56521739130435,2.06987577639752,1.16149068322981,1.40683229813665,1.38819875776398,1.42857142857143,1.42080745341615,1.45807453416149,1.3944099378882,1.24378881987578,1.69409937888199,1.31987577639752,1.15683229813665,1.65527950310559,1.31366459627329,2.31987577639752,1.4083850931677,1.6583850931677,1.1195652173913,1.26863354037267,2.57919254658385,"IND"
"Indonesia",1.81889763779528,2.62992125984252,2.64566929133858,1.68503937007874,2.07874015748031,1.99606299212598,2.59055118110236,2.55905511811024,1.65354330708661,1.43307086614173,1.94094488188976,1.97637795275591,1.66929133858268,1.8740157480315,1.62204724409449,1.24803149606299,2.04724409448819,2.49606299212598,1.22834645669291,1.31496062992126,1.39763779527559,1.60236220472441,1.54330708661417,1.59448818897638,1.57086614173228,1.69291338582677,1.81102362204724,1.89370078740157,1.24803149606299,2.08661417322835,1.77952755905512,2.56299212598425,1.48818897637795,1.57086614173228,1.10629921259843,1.02755905511811,2.39763779527559,"IDN"
"Israel",1.85567010309278,2.52061855670103,2.62113402061856,1.8840206185567,2.03865979381443,2.12886597938144,3.39175257731959,2.66237113402062,2.10824742268041,1.65463917525773,1.80412371134021,2.21907216494845,1.90721649484536,1.57216494845361,1.81443298969072,1.30154639175258,2.50773195876289,2.72938144329897,1.46907216494845,1.50257731958763,1.64690721649485,1.74226804123711,1.51288659793814,1.6159793814433,1.67010309278351,1.91494845360825,1.72164948453608,1.68298969072165,1.16237113402062,1.84020618556701,2.07216494845361,2.46907216494845,1.39175257731959,1.1340206185567,1.0360824742268,1.97422680412371,2.12371134020619,"ISR"
"Italy",1.83977900552486,3.22099447513812,3.17955801104972,2.46961325966851,1.86187845303867,2.61325966850829,3.38397790055249,2.91160220994475,1.59944751381215,1.33977900552486,1.69060773480663,2.06906077348066,1.58839779005525,1.62707182320442,1.87016574585635,1.21546961325967,1.96132596685083,3.06906077348066,1.25414364640884,1.29281767955801,1.38397790055249,1.40883977900552,1.44198895027624,1.49447513812155,1.51381215469613,1.48342541436464,1.80939226519337,1.65745856353591,1.08011049723757,1.37292817679558,1.79005524861878,2.84806629834254,1.4171270718232,1.18508287292818,1.02762430939227,2.12430939226519,2.85359116022099,"ITA"
"Japan",1.94605809128631,2.67427385892116,2.94813278008299,2.59336099585062,2.20746887966805,3.43360995850622,3.10788381742739,2.98755186721992,1.87759336099585,1.48340248962656,1.96058091286307,1.92323651452282,1.92116182572614,1.51867219917012,1.22406639004149,1.17219917012448,2.22199170124481,2.97717842323651,1.32157676348548,1.33817427385892,1.40041493775934,1.49377593360996,1.5207468879668,1.4149377593361,1.5207468879668,1.79045643153527,1.59336099585062,1.54149377593361,1.10788381742739,1.42323651452282,1.9045643153527,2.90871369294606,1.61410788381743,1.15352697095436,1.05186721991701,2.93775933609959,2.37759336099585,"JPN"
"Jordan",1.87747035573123,2.94861660079051,2.97233201581028,2.03162055335968,3.3596837944664,2.81422924901186,3.56126482213439,3.34782608695652,1.82608695652174,1.46640316205534,1.99209486166008,2.24505928853755,1.78260869565217,2.02371541501976,1.78260869565217,1.4703557312253,3.3399209486166,3.4901185770751,1.81818181818182,1.71541501976285,1.43478260869565,1.63241106719368,1.52569169960474,1.60079051383399,1.61264822134387,1.76679841897233,1.56521739130435,1.75494071146245,1.21343873517787,2.15415019762846,2.17391304347826,2.41501976284585,1.39525691699605,1.37944664031621,1.01581027667984,1.20158102766798,2.26877470355731,"JOR"
"Kenya",1.49014778325123,2.52463054187192,2.58866995073892,1.9679802955665,1.58374384236453,1.96551724137931,2.80295566502463,2.66256157635468,1.45566502463054,2.04679802955665,2.11576354679803,1.89162561576355,1.7512315270936,1.45073891625616,1.70197044334975,1.23152709359606,1.63793103448276,2.66502463054187,1.20197044334975,1.44088669950739,1.39901477832512,1.41625615763547,1.48768472906404,1.49507389162562,1.45566502463054,1.49753694581281,1.78325123152709,1.42364532019704,1.19211822660099,1.57635467980296,1.43103448275862,1.77093596059113,1.57389162561576,1.48522167487685,1.12068965517241,1.1551724137931,3.00985221674877,"KEN"
"Lebanon",2.02020202020202,3.42424242424242,3.46666666666667,2.31919191919192,2.43434343434343,2.56565656565657,2.98989898989899,2.73535353535354,1.52727272727273,1.23232323232323,2.28484848484848,2.38181818181818,1.86060606060606,1.61010101010101,1.73333333333333,1.08888888888889,2.44242424242424,2.84242424242424,1.4040404040404,1.28686868686869,1.21818181818182,1.40606060606061,1.4969696969697,1.48686868686869,1.52525252525253,1.27878787878788,1.73535353535354,1.63434343434343,1.14949494949495,1.64444444444444,1.69090909090909,2.01616161616162,1.35151515151515,1.27474747474747,1.05656565656566,1.56969696969697,2.22626262626263,"LBN"
"Malaysia",1.72897196261682,2.64485981308411,3.09968847352025,2.22118380062305,2.40809968847352,1.92523364485981,2.64797507788162,2.64797507788162,1.79750778816199,2.22741433021807,2.51401869158878,2.11526479750779,1.74454828660436,1.6791277258567,1.78504672897196,1.43302180685358,2.19003115264797,2.52647975077882,1.40498442367601,1.39563862928349,1.64797507788162,1.66355140186916,1.61682242990654,1.601246105919,1.65420560747664,1.65109034267913,1.74766355140187,1.95015576323988,1.26479750778816,1.90031152647975,1.65109034267913,2.35514018691589,1.57009345794393,1.26791277258567,1.04361370716511,1.10903426791277,1.9595015576324,"MYS"
"Mexico",1.7629179331307,2.82978723404255,2.76595744680851,2.04863221884498,2.1063829787234,2.3951367781155,3.19756838905775,2.87537993920973,1.55927051671733,2.15197568389058,2.19148936170213,2.08510638297872,1.69300911854103,1.69300911854103,1.80243161094225,1.35866261398176,2.32522796352584,3.03343465045593,1.41337386018237,1.47112462006079,1.70516717325228,1.68085106382979,1.66261398176292,1.72948328267477,1.7112462006079,1.41337386018237,1.80243161094225,1.72340425531915,1.17021276595745,1.37386018237082,1.52279635258359,1.7629179331307,1.54103343465046,1.37386018237082,1.21276595744681,1.99696048632219,2.53495440729483,"MEX"
"Nigeria",1.47826086956522,2.14945652173913,1.45108695652174,1.22010869565217,1.48641304347826,1.77445652173913,2.39402173913043,2.34510869565217,1.38586956521739,1.93478260869565,2.20108695652174,2.11684782608696,1.77173913043478,1.53532608695652,1.8070652173913,1.27717391304348,1.4429347826087,2.10054347826087,1.125,1.29891304347826,1.33967391304348,1.40489130434783,1.36413043478261,1.37228260869565,1.3695652173913,1.35597826086957,1.76358695652174,1.33423913043478,1.09510869565217,1.54619565217391,1.38858695652174,2.29076086956522,1.41576086956522,1.54076086956522,1.11141304347826,1.1929347826087,3.35326086956522,"NGA"
"Pakistan",1.44628099173554,2.40495867768595,2.32231404958678,1.73553719008264,3.07438016528926,1.41322314049587,2.25619834710744,2.90909090909091,1.98347107438017,2.03305785123967,2.50413223140496,2.3801652892562,2.42148760330579,1.52066115702479,2.1404958677686,1.49586776859504,3.1404958677686,2.78512396694215,1.50413223140496,1.45454545454545,1.61157024793388,1.6198347107438,1.57851239669421,1.72727272727273,1.8099173553719,1.74380165289256,1.69421487603306,1.80165289256198,1.37190082644628,1.90909090909091,1.99173553719008,2.72727272727273,1.58677685950413,1.81818181818182,1.19834710743802,1.2396694214876,1.90082644628099,"PAK"
"Palestinian territories",1.87262872628726,3.09214092140921,3.28184281842818,2.11924119241192,3.17886178861789,2.40921409214092,2.84281842818428,2.74254742547425,1.95663956639566,1.6449864498645,2.52574525745257,2.26558265582656,2.03794037940379,1.76964769647696,1.76964769647696,1.3360433604336,3.26829268292683,2.86449864498645,1.6639566395664,1.64769647696477,1.67750677506775,1.72628726287263,1.75338753387534,1.80216802168022,1.76422764227642,1.80758807588076,1.71815718157182,1.87262872628726,1.24932249322493,1.88346883468835,1.94850948509485,2.12737127371274,1.29539295392954,1.21680216802168,1.05691056910569,1.2710027100271,3.02981029810298,"PSE"
"Peru",1.6221198156682,2.47926267281106,1.98617511520737,1.57142857142857,1.94470046082949,2.05990783410138,2.96774193548387,2.50691244239631,1.26267281105991,1.61290322580645,1.55760368663594,1.83410138248848,1.44239631336406,1.92165898617512,2.05990783410138,1.38248847926267,2.24884792626728,2.88018433179723,1.34101382488479,1.43778801843318,1.65437788018433,1.61290322580645,1.52995391705069,1.59907834101382,1.68202764976959,1.29953917050691,1.87096774193548,1.66359447004608,1.1889400921659,1.28110599078341,1.35023041474654,1.86635944700461,1.35944700460829,1.31336405529954,1.13364055299539,1.57603686635945,2.43778801843318,"PER"
"Philippines",1.74753451676529,2.37869822485207,2.58185404339251,1.77120315581854,1.6094674556213,2.43589743589744,2.73372781065089,2.53648915187377,1.29585798816568,1.60157790927022,1.62721893491124,1.57593688362919,1.48126232741617,1.53846153846154,1.41814595660749,1.10848126232742,1.50887573964497,2.3905325443787,1.16962524654832,1.28007889546351,1.52859960552268,1.55424063116371,1.57988165680473,1.50887573964497,1.58382642998028,1.30769230769231,1.78500986193294,1.46745562130178,1.12031558185404,1.465483234714,1.25049309664694,2.22879684418146,1.27810650887574,1.64694280078895,1.31163708086785,1.12228796844181,2.61735700197239,"PHL"
"Poland",1.8112582781457,2.53311258278146,2.90066225165563,2.07615894039735,2.06953642384106,2.50993377483444,2.92384105960265,3.07284768211921,2.21523178807947,2.01655629139073,2.11258278145695,2.07284768211921,2.05960264900662,1.87086092715232,1.88079470198676,1.28476821192053,2.1887417218543,3.22516556291391,1.34437086092715,1.30132450331126,1.3112582781457,1.3046357615894,1.37417218543046,1.35430463576159,1.37086092715232,2.05629139072848,1.59933774834437,1.43377483443709,1.2682119205298,2.00662251655629,2.13907284768212,2.64569536423841,1.38079470198676,1.21854304635762,1.0794701986755,2.09933774834437,2.50331125827815,"POL"
"Russia",1.85393258426966,2.9625468164794,2.79026217228464,1.65168539325843,3.19850187265918,1.92883895131086,2.50187265917603,1.37827715355805,2.19101123595506,2.26217228464419,2.37827715355805,2.43820224719101,1.69662921348315,2.36329588014981,1.66292134831461,1.50561797752809,3.38951310861423,1.46441947565543,1.89513108614232,1.79026217228464,1.90262172284644,1.88014981273408,1.85393258426966,1.9063670411985,1.95131086142322,1.86142322097378,1.82771535580524,1.93632958801498,1.32209737827715,1.77153558052434,2.00374531835206,2.87265917602996,1.44569288389513,1.22097378277154,1.02247191011236,2.30337078651685,2.09737827715356,"RUS"
"Senegal",1.82846715328467,2.28102189781022,1.86861313868613,1.46715328467153,1.48175182481752,1.63868613138686,2.44160583941606,2.54744525547445,1.64233576642336,1.94525547445255,1.98540145985401,1.93430656934307,1.54379562043796,1.31021897810219,1.73722627737226,1.13868613138686,1.5,2.81021897810219,1.19343065693431,1.27372262773723,1.4014598540146,1.35766423357664,1.33211678832117,1.34671532846715,1.37591240875912,1.4014598540146,1.83576642335766,1.69343065693431,1.17883211678832,1.78467153284672,1.59124087591241,1.8029197080292,1.45985401459854,1.55839416058394,1.08029197080292,1.06204379562044,3.51094890510949,"SEN"
"South Africa",1.68161434977578,2.27354260089686,2.61434977578475,1.84304932735426,1.72645739910314,2.17488789237668,2.88789237668161,2.69506726457399,1.48430493273543,2.09865470852018,2.09865470852018,1.9237668161435,1.76233183856502,1.85201793721973,1.89686098654709,1.26905829596413,1.58295964125561,2.43497757847534,1.16591928251121,1.29596412556054,1.49775784753363,1.42152466367713,1.37668161434978,1.47085201793722,1.40358744394619,1.63677130044843,1.85201793721973,1.62780269058296,1.39461883408072,1.91031390134529,1.83408071748879,2.74439461883408,1.58295964125561,1.59192825112108,1.07174887892377,1.51569506726457,3.91031390134529,"ZAF"
"South Korea",1.92913385826772,3.11811023622047,3.22244094488189,2.10236220472441,2.06692913385827,2.36614173228346,2.79133858267717,2.51377952755906,1.75787401574803,1.36220472440945,1.87007874015748,1.61614173228346,1.8996062992126,1.67913385826772,1.68700787401575,1.16338582677165,1.84448818897638,2.88976377952756,1.29527559055118,1.28937007874016,1.3503937007874,1.35433070866142,1.39566929133858,1.39763779527559,1.45669291338583,1.6240157480315,1.84842519685039,1.54724409448819,1.0748031496063,1.59251968503937,1.79527559055118,2.15157480314961,1.42716535433071,1.04527559055118,1,2.59055118110236,2.08267716535433,"KOR"
"Spain",1.91286307053942,3.25726141078838,2.72406639004149,2.30290456431535,2.19502074688797,2.62033195020747,3.39626556016598,2.94605809128631,1.59128630705394,1.28215767634855,1.69087136929461,2.12448132780083,1.44605809128631,1.83817427385892,1.850622406639,1.49585062240664,2.38589211618257,3.42738589211618,1.44190871369295,1.5954356846473,1.52904564315353,1.46680497925311,1.52489626556017,1.52697095435685,1.62448132780083,1.57261410788382,1.83817427385892,1.71991701244813,1.08091286307054,1.5,1.97302904564315,1.90248962655602,1.45228215767635,1.10580912863071,1.02282157676349,2.73029045643154,3.50414937759336,"ESP"
"Tanzania",1.72307692307692,2.5,2.63076923076923,2.05384615384615,1.51923076923077,1.49230769230769,2.49615384615385,2.21538461538462,1.65,1.52692307692308,1.83461538461538,1.66923076923077,1.5,1.44230769230769,1.91153846153846,1.22692307692308,1.51538461538462,2.06538461538462,1.16538461538462,1.23461538461538,1.26538461538462,1.23846153846154,1.32307692307692,1.28846153846154,1.27307692307692,1.46923076923077,1.71153846153846,1.26538461538462,1.06153846153846,1.46153846153846,1.40769230769231,1.93076923076923,1.23076923076923,1.71538461538462,1.28461538461538,1.12692307692308,2.96923076923077,"TZA"
"Turkey",1.96062992125984,2.7992125984252,3.36220472440945,2.16141732283465,2.69685039370079,2.90944881889764,3.21259842519685,3.11417322834646,1.76377952755906,2.06299212598425,2.0511811023622,2.05905511811024,1.82677165354331,1.83070866141732,1.98818897637795,1.45275590551181,2.26377952755906,2.53937007874016,1.55905511811024,1.5748031496063,1.55905511811024,1.61023622047244,1.68110236220472,1.65354330708661,1.68110236220472,1.94488188976378,1.68503937007874,1.66535433070866,1.32283464566929,2.11023622047244,2.0748031496063,2.7755905511811,1.28346456692913,1.1259842519685,1.00393700787402,1.70866141732283,2.31102362204724,"TUR"
"Uganda",1.80441640378549,2.78233438485804,2.70977917981073,1.86119873817035,1.69085173501577,1.90220820189274,2.6782334384858,2.5583596214511,1.32492113564669,2.01892744479495,2.14511041009464,2.19558359621451,1.52365930599369,1.42271293375394,1.51104100946372,1.12302839116719,1.82334384858044,2.6782334384858,1.22082018927445,1.30914826498423,1.32807570977918,1.30914826498423,1.31230283911672,1.32807570977918,1.3596214511041,1.37854889589905,1.82018927444795,1.1608832807571,1.05047318611987,1.29022082018927,1.10725552050473,1.80441640378549,1.53943217665615,1.85488958990536,1.41640378548896,1.08201892744479,3.4416403785489,"UGA"
"Ukraine",1.86,3.524,3.196,1.724,2.084,2.192,2.72,3.196,2.208,2.844,2.788,3.396,1.9,2.292,1.776,1.26,2.24,3.308,1.388,1.444,1.58,1.568,1.568,1.632,1.532,1.848,1.628,1.828,1.22,1.632,2.184,2.608,1.352,1.328,1.056,2.312,3.42,"UKR"
"United Kingdom",1.71320754716981,2.52452830188679,2.61509433962264,2.48301886792453,2.12830188679245,2.47547169811321,3.04150943396226,3.17358490566038,1.92452830188679,1.39245283018868,1.91698113207547,1.90943396226415,1.87547169811321,1.80377358490566,1.77735849056604,1.38490566037736,2.01509433962264,3.38867924528302,1.39622641509434,1.63018867924528,1.48679245283019,1.32075471698113,1.30566037735849,1.26037735849057,1.44528301886792,1.81132075471698,1.71698113207547,1.69056603773585,1.16603773584906,1.70566037735849,2.47547169811321,2.67547169811321,1.46415094339623,1.08301886792453,1.06792452830189,2.65283018867925,2.79245283018868,"GBR"
"United States",1.59923664122137,2.75190839694656,2.98091603053435,2.37595419847328,1.65458015267176,2.83778625954198,3.43320610687023,3.12786259541985,2.07824427480916,1.3263358778626,1.43511450381679,1.48282442748092,1.61068702290076,1.71946564885496,1.60496183206107,1.48091603053435,2.56679389312977,3.32824427480916,1.55152671755725,1.50381679389313,1.62213740458015,1.59351145038168,1.51908396946565,1.54198473282443,1.59160305343511,1.98282442748092,1.80534351145038,1.40076335877863,1.30725190839695,2.09923664122137,2.48282442748092,2.11832061068702,1.62786259541985,1.07442748091603,1.04198473282443,1.84541984732824,2.95038167938931,"USA"
"Venezuela",1.63739376770538,3.37110481586402,2.90368271954674,2.13314447592068,2.64305949008499,2.44192634560906,2.97167138810198,2.77053824362606,1.42209631728045,1.90934844192635,1.84419263456091,1.69121813031161,1.41359773371105,1.56657223796034,1.8300283286119,1.44192634560907,3.05949008498584,3.15297450424929,1.63739376770538,1.58923512747875,1.71104815864023,1.73654390934844,1.70254957507082,1.76203966005666,1.78470254957507,1.19830028328612,1.89518413597734,1.81019830028329,1.12747875354108,1.23512747875354,1.20679886685552,1.52974504249292,1.34277620396601,1.3257790368272,1.15297450424929,1.64305949008499,2.72237960339943,"VEN"
"Vietnam",1.81649484536082,1.90721649484536,1.97938144329897,1.12577319587629,1.65567010309278,3.12577319587629,2.44329896907217,1.70309278350515,1.50103092783505,1.9319587628866,2.09896907216495,1.89072164948454,1.80412371134021,1.77938144329897,1.28453608247423,1.07010309278351,1.72783505154639,1.72164948453608,1.15257731958763,1.18350515463918,1.35876288659794,1.44123711340206,1.32989690721649,1.34639175257732,1.49896907216495,1.34020618556701,1.85979381443299,1.41855670103093,1.11546391752577,1.48865979381443,1.42061855670103,2.49484536082474,1.51134020618557,1.37938144329897,1.08659793814433,2.29896907216495,2.09896907216495,"VNM"
